zip_or_postal_code,ZCTA,CITY,STATE,COUNTY,LAT,LNG,POP,AVG_HOUSEHOLD_SIZE,POP_DENSITY,AREA_TYPE,MEDIAN_INCOME,age_group,population_growth_rate,ESTAB,EMP,RESTAURANT_COUNT,cluster_id,market_segment,price positioning,restaurant_source_file
20165,20165,Sterling,VA,Loudoun,39.05058,-77.38854,34222,2.85,1336.5,SUBURBAN,173015,millennial,2.228462182,740,13591,2,8,Social Dining Market,higher-income trade area,Comp_Restaurants_Curated_DCA.csv
20886,20886,Montgomery Village,MD,Montgomery,39.17952,-77.197,34692,2.83,3268.6,URBAN,94586,millennial,0.649878148,1678,28050,1,5,Youth Convenience Market,mid-market trade area,Comp_Restaurants_Curated_DCA.csv
22205,22205,Arlington,VA,Arlington,38.88337,-77.13948,18523,2.69,2510.5,SUBURBAN,206369,adult,-1.593794825,547,10945,1,2,Youth Convenience Market,higher-income trade area,Comp_Restaurants_Curated_DCA.csv
21224,21224,Baltimore,MD,Baltimore,39.28309,-76.54088,44915,2.3,1965,SUBURBAN,86443,millennial,-11.85705595,1177,15209,1,10,Social Dining Market,value-oriented trade area,Comp_Restaurants_Curated_DCA.csv
22304,22304,Alexandria,VA,Alexandria,38.81361,-77.11498,49711,2.12,3873,URBAN,98238,millennial,3.111323142,346,7076,1,14,Social Dining Market,mid-market trade area,Comp_Restaurants_Curated_DCA.csv
20906,20906,Silver Spring,MD,Montgomery,39.08858,-77.05522,71560,2.75,2140.5,SUBURBAN,91563,adult,2.107501106,1678,28050,1,5,Youth Convenience Market,value-oriented trade area,Comp_Restaurants_Curated_DCA.csv
20002,20002,Washington,DC,District of Columbia,38.90511,-76.98431,70043,2.04,5441.7,URBAN,107130,millennial,13.36203408,2046,40920,3,8,Social Dining Market,mid-market trade area,Comp_Restaurants_Curated_DCA.csv
22311,22311,Alexandria,VA,Alexandria,38.83442,-77.12313,19531,2.34,4824.2,URBAN,84948,millennial,9.368350319,346,7076,1,5,Youth Convenience Market,value-oriented trade area,Comp_Restaurants_Curated_DCA.csv
21061,21061,Glen Burnie,MD,Anne Arundel,39.16116,-76.63226,55172,2.49,1812.6,SUBURBAN,79778,millennial,2.963571215,1069,23961,3,1,Social Dining Market,value-oriented trade area,Comp_Restaurants_Curated_DCA.csv
22041,22041,Falls Church,VA,Fairfax,38.8485,-77.14212,29132,2.59,4060.6,URBAN,86731,millennial,1.732085487,2149,36281,1,5,Youth Convenience Market,value-oriented trade area,Comp_Restaurants_Curated_DCA.csv
21236,21236,Nottingham,MD,Baltimore,39.38789,-76.48552,38632,2.49,1710.5,SUBURBAN,91855,millennial,-1.782218493,1418,25165,1,11,Youth Convenience Market,value-oriented trade area,Comp_Restaurants_Curated_DCA.csv
20903,20903,Silver Spring,MD,Montgomery,39.02128,-76.9821,25324,3.58,2809.6,SUBURBAN,78649,millennial,-2.61498231,1678,28050,1,7,Healthy Lifestyle Market,value-oriented trade area,Comp_Restaurants_Curated_DCA.csv
20602,20602,Waldorf,MD,Charles,38.58335,-76.89466,28988,2.75,755.6,RURAL,102536,millennial,10.03226419,232,5512,1,3,Youth Convenience Market,mid-market trade area,Comp_Restaurants_Curated_DCA.csv
20176,20176,Leesburg,VA,Loudoun,39.18147,-77.5345,50640,3.07,362,RURAL,156077,millennial,-3.020089243,740,13591,1,5,Youth Convenience Market,higher-income trade area,Comp_Restaurants_Curated_DCA.csv
20721,20721,Bowie,MD,Prince George's,38.92106,-76.78881,30785,2.86,711.8,RURAL,162538,adult,2.15357048,1297,24030,1,9,Healthy Lifestyle Market,higher-income trade area,Comp_Restaurants_Curated_DCA.csv
21030,21030,Cockeysville,MD,Baltimore,39.49002,-76.6659,25133,2.3,414.6,RURAL,92333,millennial,0.757697242,1418,25165,2,1,Social Dining Market,value-oriented trade area,Comp_Restaurants_Curated_DCA.csv
